ID,r_value,g_value,b_value,Y_value,Cb_value,Cr_value,H_value,S_value,V_value,L_value,A_value,B_value,Class
44,141.4248763,95.03621233,66.41835358,105.6441745,105.8735942,153.5587045,11.25258659,135.9248763,141.4248763,113.634278,143.5593792,151.9127305,1
781,149.0553942,107.8807237,97.91958901,119.0431092,116.0589681,149.4223811,5.924279652,89.43243243,149.0553942,126.0310476,143.0842082,140.1963368,0
188,145.922984,93.70698625,68.22175771,106.4242847,106.454385,156.2172984,9.484113712,137.46479,145.922984,114.2495355,146.5589929,151.3890747,1
1113,169.0063315,120.4462778,91.4524175,131.6668745,105.3216616,154.6783384,11.05928626,117.6341616,169.0063315,139.6492229,143.4201842,151.4021489,0
697,187.6313143,122.6389002,89.00755682,138.2312969,100.2386502,163.263268,10.10190083,135.2161832,187.6313143,146.4720979,149.7291461,156.7783526,0
104,134.0390185,94.25301689,72.54827031,103.6830249,110.4541432,149.6705551,10.42075623,123.1842317,134.0390185,110.848753,141.6794047,147.1641191,1
22,152.8929921,100.4344912,70.86691042,112.7691651,104.3830591,156.6666667,10.78244973,137.7110299,152.8929921,121.0085314,145.8939671,153.3801341,1
670,161.5763584,116.6033854,95.62798092,127.6607126,109.9295801,152.2350136,9.526091836,107.4269616,161.5763584,134.7908445,142.9956046,146.6490695,0
17,143.9070365,102.8620099,75.64372539,112.068995,107.4896422,150.7471323,11.88871769,122.0390344,143.9070365,119.9931519,141.0304742,149.8577298,1
866,159.1775401,122.3909091,100.8807487,130.9328877,111.0596257,148.194385,11.02941176,96.39572193,159.1775401,138.2270053,139.3550802,145.3762032,0
37,129.9027182,93.11874106,83.17310443,102.9585122,116.8226037,147.2317597,5.965665236,93.39914163,129.9027182,109.7181688,141.6881259,139.7052933,1
637,158.6146833,109.3243479,77.47054626,120.4397051,103.7615952,155.2594942,11.65900262,131.9117577,158.6146833,128.6767621,143.9514786,153.6544042,0
642,162.5324329,112.3772113,95.20087502,125.4169679,110.9539661,154.5103671,7.307780103,106.5794179,162.5324329,132.917063,145.750428,145.6005326,0
614,134.6947378,88.7079646,69.07660101,100.2274241,110.4399086,152.6330764,8.996859834,127.6026263,134.6947378,107.358645,144.6751356,147.2322771,0
901,168.4854411,130.3255106,116.8283355,140.1762277,114.8039983,148.2003477,7.659061278,79.36136462,168.4854411,147.1199478,140.7457627,140.9752282,0
808,166.2247153,120.6617461,113.932771,133.5223113,116.9267819,151.3729228,3.810291016,81.21594264,166.2247153,140.1463518,144.9035006,138.746183,0
607,161.54438,115.4121156,94.77618474,126.8565722,109.8973405,152.771588,9.281164496,109.8301412,161.54438,134.0892525,143.6307322,146.8206195,0
19,151.1364855,108.3941019,79.28783817,117.8998294,106.27029,151.7284913,12.11455033,122.4672191,151.1364855,125.9763588,141.3568121,150.9958567,1
400,181.0891762,125.6320923,103.5701427,139.728319,107.6317022,157.5390425,8.54949281,111.0462602,181.0891762,146.8378943,146.8695519,148.7595028,0
630,141.1562415,96.25673103,74.81778624,107.2470764,109.7068262,152.2368779,9.730350829,121.8069078,141.1562415,114.7840631,143.6229263,147.7047865,0
138,123.1559449,75.89136421,65.76020025,88.86833542,114.9456821,152.5013767,5.238548185,121.1341677,123.1559449,95.36971214,146.861577,142.5829787,1
681,162.4607493,106.683653,75.43437779,119.8115522,102.9578501,158.4609166,10.36139607,136.9094001,162.4607493,128.1257806,146.9083965,154.503401,0
709,160.2861767,113.7454061,92.23261641,125.226091,109.3939758,153.0482355,9.239872625,111.4934224,160.2861767,132.4124034,143.7321988,147.3257987,0
